25600
0
45
999944
51200
57        
828976    
828976    
76072 0 45 15504 26466 61586
54675 0 60 56697 3143 17881
67064 0 149 43316 14985 50800
73953 0 243 41289 7568 52513
63941 0 313 1801 63213 49276
57587 0 371 61214 2270 40929
61740 0 383 41068 20156 50231
72583 0 393 28946 56509 10259
67446 0 433 57989 20246 14925
74452 0 503 30182 60776 35856
66754 0 512 61659 64833 53972
54703 0 578 6569 59719 60440
67913 0 631 48011 29366 21416
63023 0 720 10060 40900 46492
64538 0 729 49979 20382 9256
74011 0 778 18232 6252 49956
63088 0 784 45758 64464 8600
58980 0 877 56898 32440 65455
57761 0 879 7402 20043 6758
63936 0 898 30698 10714 49628
60305 0 918 51147 429 43332
65177 0 941 17326 12175 18552
66037 0 953 25363 44318 48486
72272 0 965 25097 8041 7777
71037 0 994 24148 12760 51753
53037 0 1023 34666 42307 43371
65545 0 1054 4499 50702 38373
61128 0 1092 19855 24735 5691
69586 0 1206 58644 44946 24000
76239 0 1260 48730 39345 49959
59793 0 1275 10654 48700 6345
64509 0 1350 62631 28609 56185
70094 0 1373 1180 31824 64535
72911 0 1447 20 53804 5891
76095 0 1455 43549 35319 44906
54108 0 1494 60007 20905 35165
57401 0 1559 37445 32358 8537
74865 0 1575 54078 27777 11119
51653 0 1631 16212 46673 32928
66055 0 1643 36321 51639 40641
51714 0 1659 61107 23080 35999
56668 0 1665 37584 37003 45808
56437 0 1666 26911 59965 59129
60760 0 1710 37923 52813 10527
58999 0 1737 9675 42154 58928
72174 0 1802 39139 15957 39561
63798 0 1824 38328 55055 40785
72460 0 1898 25777 38543 1776
76271 0 1909 61919 28857 34878
55425 0 1916 24700 37193 36509
59019 0 1965 35754 9069 61321
69954 0 2019 53 21035 62085
58293 0 2091 43958 64810 50518
55679 0 2136 57311 53190 43651
53321 0 2200 48588 29247 65214
67643 0 2224 5463 20039 39210
54446 0 2327 44416 34033 1889
56546 0 2340 55167 22829 59988
54580 0 2368 61788 13376 42475
61953 0 2369 49716 57100 53142
73720 0 2423 32259 44722 22526
68388 0 2459 32232 60788 50750
53965 0 2650 51008 58412 53174
52120 0 2670 12796 30048 58153
72406 0 2702 4996 49076 15677
65740 0 2754 58948 23437 48704
69042 0 2762 7196 47098 41422
72063 0 2763 10125 12433 17826
66538 0 2768 12508 39367 10360
70922 0 2792 192 57145 32004
63048 0 2812 39939 18540 12219
76101 0 2835 39130 9712 9979
75731 0 2848 3111 58269 40550
63697 0 2864 59673 25140 31043
52818 0 2865 17296 53117 48507
57160 0 2903 19667 57096 18954
59315 0 2940 16382 34290 53089
61695 0 2981 46697 64843 38097
59209 0 3012 34869 30137 5532
71743 0 3037 44785 110 30930
64335 0 3052 10294 58882 39559
